                                                  The MEANS Procedure

 Variable            N   Lower Quartile   Upper Quartile
 -------------------------------------------------------
 poids              24     2124.0000000     3195.0000000
 acceleration       24       13.5000000       17.2500000
 cylindres          24        4.0000000        6.0000000
 puissance          24       76.5000000      100.0000000
 deplacement        24       97.0000000      228.5000000
 -------------------------------------------------------


  Obs  origine  identifiant  mpg  cylindres  deplacement  puissance  poids  acceleration  annee_du_modele   age
-----  -------  -----------  ---  ---------  -----------  ---------  -----  ------------  ---------------  ----
    1  USA                1   18          8          307        130   3504            12               70  1913
    2  USA                2   15          8          350        165   3693          11.5               70  1913
    3  USA                3   18          8          318        150   3436            11               70  1913
    4  USA                4   16          8          304        150   3433            12               70  1913
    5  USA                5   17          8          302        140   3449          10.5               70  1913
    6  Asie               6   24          4          113         95   2372            15               70  1913
    7  Asie               7   27          4           97         88   2130          14.5               70  1913
    8  Europe             8   26          4           97         46   1835          20.5               70  1913
    9  Europe             9   25          4          110         87   2672          17.5               70  1913
   10  Europe            10   24          4          107         90   2430          14.5               70  1913
   11  USA               11   22          6          198         95   2833          15.5               70  1913
   12  USA               12   18          6          199         97   2774          15.5               70  1913
   13  USA               13   21          6          200         85   2587            16               70  1913
   14  Asie              14   32          4           83         61   2003            19               74  1909
   15  Asie              15   28          4           90         75   2125          14.5               74  1909
   16  Europe            16   31          4           79         67   2000            16               74  1909
   17  Asie              17   33          4           91         53   1795          17.5               75  1908
   18  USA               18   20          6          225        100   3651          17.7               76  1907
   19  Europe            19   30          4           97         78   2189          16.9               74  1909
   20  Europe            20   29          4           98         83   2219          16.5               74  1909
   21  Europe            21   23          4          120         88   2957            17               75  1908
   22  Asie              22   35          4           72         69   1613            18               71  1912
   23  Europe            23   27          4          116         90   2123            14               71  1912
   24  USA               24   19          6          232        100   2634            13               71  1912
